"client-service::DEU,caribou::DEU,general-locstrings::country_name_germany",,Germany,Allemagne
client-service::DJI,,Djibouti,Djibouti
client-service::DMA,,Dominica,Dominique
"client-service::DNK,caribou::DNK",,Denmark,Danemark
client-service::DOM,,Dominican Republic,République dominicaine
client-service::DOM_sentence,,the Dominican Republic,la République dominicaine
client-service::DZA,,Algeria,Algérie
"client-service::ECU,caribou::ECU",,Ecuador,Équateur
client-service::EGY,,Egypt,Égypte
client-service::ERI,,Eritrea,Érythrée
"client-service::ES-ESP,caribou::ESP,general-locstrings::country_name_spain",,Spain,Espagne
client-service::EST,,Estonia,Estonie
"client-service::ETH,caribou::ETH",,Ethiopia,Éthiopie
"client-service::FI-FIN,caribou::FIN,general-locstrings::country_name_finland",,Finland,Finlande
client-service::FJI,,Fiji,Fidji
client-service::FLK,,Falkland Islands,Îles Malouines
client-service::FRA,,France,France
client-service::FRO,,Faroe Islands,Îles Féroé
client-service::FSM,,Micronesia,États fédérés de Micronésie
client-service::GAB,,Gabon,Gabon
client-service::GB-UKM,,United Kingdom,Royaume-Uni
"client-service::GBR_sentence,general-locstrings::country_name_united_kingdom_sentence",,the United Kingdom,le Royaume-Uni
client-service::GEO,,Georgia,Géorgie
client-service::GGY,,Guernsey,Guernesey
client-service::GHA,,Ghana,Ghana
client-service::GIB,,Gibraltar,Gibraltar
client-service::GIN,,Guinea,Guinée
client-service::GMB,,Gambia,Gambie
client-service::GNB,,Guinea Bissau,Guinée-Bissau
client-service::GNQ,,Equatorial Guinea,Guinée équatoriale
client-service::GRC,,Greece,Grèce
client-service::GRD,,Grenada,Grenade
client-service::GRL,,Greenland,Groenland
"client-service::GT-GU,caribou::GTM",,Guatemala,département de Guatemala
client-service::GUM,,Guam,Guam
client-service::GUY,,Guyana,Guyana
client-service::HK-HKG,,Hong Kong,Hong Kong
"client-service::HND,caribou::HND",,Honduras,Honduras
client-service::HRV,,Croatia,Croatie
"client-service::HTI,caribou::HTI",,Haiti,Haïti
client-service::HUN,,Hungary,Hongrie
client-service::IDN,,Indonesia,Indonésie
client-service::IMN,,Isle of Man,Île de Man
"client-service::IND,caribou::IND,general-locstrings::country_name_india",,India,Inde
client-service::IOT,,British Indian Ocean Territory,Territoire britannique de locéan Indien
"client-service::IE-IRL,caribou::IRL",,Ireland,Irlande
client-service::IRN,,Iran,Iran
client-service::IRQ,,Iraq,Irak
client-service::ISL,,Iceland,Islande
client-service::ISR,,Israel,Israël
"client-service::IT-ITA,caribou::ITA,general-locstrings::country_name_italy",,Italy,Italie
client-service::JAM,,Jamaica,Jamaïque
client-service::JEY,,Jersey,Jersey
client-service::JOR,,Jordan,Jordanie
client-service::JPN,,Japan,Japon
client-service::KAZ,,Kazakhstan,Kazakhstan
"client-service::KEN,caribou::KEN",,Kenya,Kenya
client-service::KGZ,,Kyrgyzstan,Kirghizistan
client-service::KHM,,Cambodia,Cambodge
client-service::KIR,,Kiribati,Kiribati
client-service::KNA,,Saint Kitts and Nevis,Saint-Christophe-et-Niévès
client-service::KOR,,South Korea,Corée du Sud
client-service::KWT,,Kuwait,Koweït
client-service::LAO,,Laos,Laos
client-service::LBN,,Lebanon,Liban
client-service::LBR,,Liberia,Libéria
client-service::LBY,,Libya,Libye
client-service::LCA,,Saint Lucia,Sainte Lucie
client-service::LIE,,Liechtenstein,Liechtenstein
client-service::LKA,,Sri Lanka,Sri Lanka
client-service::LSO,,Lesotho,Lesotho
client-service::LTU,,Lithuania,Lituanie
client-service::LUX,,Luxembourg,canton de Luxembourg
client-service::LVA,,Latvia,Lettonie
client-service::MAC,,Macau,Macao
client-service::MAF,,Saint Martin,Saint-Martin
client-service::MAR,,Morocco,Maroc
client-service::MCO,,Monaco,Monaco
client-service::MDA,,Moldova,Moldavie
client-service::MDG,,Madagascar,Madagascar
client-service::MDV,,Maldives,Maldives
"client-service::MEX,caribou::MEX",,Mexico,Mexique
client-service::MHL,,Marshall Islands,Îles Marshall
client-service::MKD,,Macedonia,Macédoine
client-service::MLI,,Mali,préfecture de Mali
client-service::MLT,,Malta,Malte
client-service::MMR,,Myanmar,Myanmar
client-service::MNE,,Montenegro,Monténégro
client-service::MNG,,Mongolia,Mongolie
client-service::MNP,,Northern Marianas Islands,Îles Mariannes du Nord
client-service::MOZ,,Mozambique,Mozambique
client-service::MRT,,Mauritania,Mauritanie
client-service::MSR,,Montserrat,Montserrat
client-service::MUS,,Mauritius,Maurice
client-service::MWI,,Malawi,Malawi
client-service::MYS,,Malaysia,Malaisie
client-service::MYT,,Mayotte,Mayotte
client-service::NAM,,Namibia,Namibie
client-service::NCL,,New Caledonia,Nouvelle-Calédonie
client-service::NER,,Niger,État de Niger
"client-service::NGA,caribou::NGA",,Nigeria,Nigéria
"client-service::NIC,caribou::NIC",,Nicaragua,Nicaragua
client-service::NIU,,Niue,Niue
client-service::NLD,,Netherlands,Pays-Bas
client-service::NLD_sentence,,the Netherlands,les Pays-Bas
"client-service::NO-NOR,caribou::NOR,general-locstrings::country_name_norway",,Norway,Norvège
client-service::NPL,,Nepal,Népal
client-service::NRU,,Nauru,Nauru
client-service::NZL,,New Zealand,Nouvelle-Zélande
client-service::OMN,,Oman,Oman
"client-service::PAK,caribou::PAK",,Pakistan,Pakistan
"client-service::PAN,caribou::PAN",,Panama,Panama
client-service::PCN,,Pitcairn,Pitcairn
"client-service::PER,caribou::PER",,Peru,Pérou
client-service::PHL,,Philippines,Philippines
"client-service::PHL_sentence,cxcore::country/the_philippines,general-locstrings::country_name_phl_sentence",,the Philippines,les Philippines
client-service::PLW,,Palau,Palaos
client-service::PNG,,Papua New Guinea,Papouasie-Nouvelle-Guinée
client-service::POL,,Poland,Pologne
client-service::PRI,,Puerto Rico,Porto Rico
client-service::PRK,,North Korea,Corée du Nord
client-service::PRT,,Portugal,Portugal
"client-service::PRY,caribou::PRY",,Paraguay,Paraguay
client-service::PSE,,Palestine,Palestine
client-service::PYF,,French Polynesia,Polynésie française
client-service::QAT,,Qatar,Qatar
client-service::REU,,Reunion,Réunion
client-service::ROU,,Romania,Roumanie
client-service::RUS,,Russia,Russie
client-service::RWA,,Rwanda,Rwanda
client-service::SAU,,Saudi Arabia,Arabie saoudite
client-service::SDN,,Sudan,Soudan
client-service::SEN,,Senegal,Sénégal
client-service::SGP,,Singapore,Singapour
client-service::SHN,,Saint Helena,Sainte-Hélène
client-service::SLB,,Solomon Islands,Îles Salomon
client-service::SLE,,Sierra Leone,Sierra Leone
"client-service::SLV,caribou::SLV",,El Salvador,Salvador
client-service::SMR,,San Narino,San Marin
client-service::SOM,,Somalia,Somalie
client-service::SPM,,Saint Pierre and Miquelon,Saint-Pierre-et-Miquelon
client-service::SRB,,Serbia,Serbie
client-service::SSD,,South Sudan,Soudan du Sud
client-service::STP,,Sao Tome and Principe,Sao Tomé-et-Principe
client-service::SUR,,Suriname,Suriname
client-service::SVK,,Slovakia,Slovaquie
client-service::SVN,,Slovenia,Slovénie
"client-service::SE-SWE,caribou::SWE,general-locstrings::country_name_sweden",,Sweden,Suède
client-service::SWZ,,Swaziland,Swaziland
client-service::SYC,,Seychelles,Seychelles
client-service::SYR,,Syria,Syrie
client-service::TCA,,Turks and Caicos Islands,Îles Turques-et-Caïques
client-service::TCD,,Chad,Tchad
client-service::TGO,,Togo,Togo
client-service::THA,,Thailand,Thaïlande
client-service::TJK,,Tajikistan,Tadjikistan
client-service::TKL,,Tokelau,Tokelau
client-service::TKM,,Turkmenistan,Turkménistan
client-service::TLS,,East Timor,Timor-Oriental
client-service::TON,,Tonga,Tonga
client-service::TTO,,Trinidad and Tobago,Trinité-et-Tobago
client-service::TUN,,Tunisia,Tunisie
client-service::TUR,,Turkey,Turquie
client-service::TUV,,Tuvalu,Tuvalu
client-service::TWN,,Taiwan,province de Taiwan
client-service::TZA,,Tanzania,Tanzanie
client-service::UGA,,Uganda,Ouganda
"client-service::UKR,general-locstrings::country_name_ukraine",,Ukraine,Ukraine
"client-service::URY,caribou::URY",,Uruguay,Uruguay
client-service::USA,,USA,États-Unis
"client-service::USA_sentence,general-locstrings::country_name_usa_sentence",,the USA,les États-Unis
client-service::UZB,,Uzbekistan,Ouzbékistan
client-service::VAT,,Vatican,Vatican
client-service::VCT,,Saint Vincent and the Grenadines,Saint-Vincent-et-les Grenadines
client-service::VEN,,Venezuela,Venezuela
client-service::VGB,,British Virgin Islands,Îles Vierges britanniques
"client-service::VNM,caribou::VNM",,Vietnam,Vietnam
client-service::VUT,,Vanuatu,Vanuatu
client-service::WSM,,Samoa,Samoa
client-service::YEM,,Yemen,Yémen
"client-service::ZAF,caribou::ZAF,general-locstrings::country_name_south_africa",,South Africa,Afrique du Sud
client-service::ZMB,,Zambia,Zambie
client-service::ZWE,,Zimbabwe,Zimbabwe
"client-service::STANDARD_LABEL,narwhal::Account number",,Account number,Numéro de compte
client-service::STANDARD_RECIPIENT_ACCOUNT_TITLE,,Recipient Account Number,Numéro de compte du destinataire
client-service::CLABE_LABEL,,CLABE number,Numéro CLABE
client-service::CLABE_RECIPIENT_ACCOUNT_TITLE,,Recipient CLABE Number,Numéro CLABE du destinataire
client-service::CBU_LABEL,,CBU number,Numéro CBU
client-service::CBU_RECIPIENT_ACCOUNT_TITLE,,Recipient CBU Number,Numéro CBU du destinataire
client-service::BANK_CARD_LABEL,,Bank card number,Numéro de carte bancaire
client-service::BANK_CARD_RECIPIENT_ACCOUNT_TITLE,,Recipient Bank Card,Carte bancaire du destinataire
client-service::IBAN_LABEL,,IBAN,IBAN
client-service::IBAN_RECIPIENT_ACCOUNT_TITLE,,Recipient IBAN,IBAN du destinataire
client-service::IBAN_OR_STANDARD_LABEL,,IBAN or account number,IBAN ou numéro de compte
client-service::BANK_DEPOSIT_TITLE,,Bank Deposit,Dépôt bancaire
client-service::BANK_DEPOSIT_SUBTITLE,,Select your recipient’s bank,Sélectionner la banque du destinataire
client-service::BANK_DEPOSIT_SEE_ALL,,Choose another bank,Choisir une autre banque
client-service::BANK_DEPOSIT_DESTINATION_LABEL,,Bank,Banque
client-service::CASH_PICKUP_TITLE,,Cash Pickup,Retrait en espèces
client-service::CASH_PICKUP_SUBTITLE,,Select a cash pickup option,Sélectionner une option de retrait en espèces
client-service::HOME_DELIVERY_SEE_ALL,,Choose another location,Choisir un autre lieu
client-service::CASH_PICKUP_DESTINATION_LABEL,,Cash Pickup Location,Lieu du retrait en espèces
client-service::DIRECT_TO_PHONE_TITLE,,Mobile Money,Argent mobile
client-service::DIRECT_TO_PHONE_SUBTITLE,,Select a mobile wallet option,Sélectionner une option de portefeuille mobile
client-service::DIRECT_TO_PHONE_SEE_ALL,,Choose another wallet,Choisir une autre portefeuille
client-service::DIRECT_TO_PHONE_DESTINATION_LABEL,,Mobile Wallet,Portefeuille mobile
client-service::HOME_DELIVERY_DESTINATION_LABEL,,Home Delivery,Livraison à domicile
client-service::HOME_DELIVERY_SUBTITLE,,Select a home delivery option,Sélectionner une option de livraison à domicile
client-service::UNAUTHORIZED,,"We're sorry, your session has expired. Please log back in to continue.","Nous sommes désolés, mais votre session a expiré. Veuillez vous reconnecter pour continuer."
client-service::NOT_ALLOWED,,"We're sorry, we encountered an error processing your request. Please try again in a couple of minutes.","Nous sommes désolés, mais une erreur s'est produite lors du traitement de votre demande. Veuillez réessayer dans quelques minutes."
client-service::CURRENT_PASSWORD_MATCH,,New password cannot match your current password.,Le nouveau mot de passe ne peut pas être identique à votre mot de passe actuel.
client-service::CURRENT_PASSWORD_REQUIRED,,Current password is required.,Le mot de passe actuel est obligatoire.
client-service::INVALID_CARD_NUMBER,,Invalid card number.,Numéro de carte incorrect.
client-service::INVALID_CARD_TYPE,,"We're sorry, we only accept Visa or Mastercard, please enter a different credit card number.","Nous sommes désolés, mais nous n'acceptons que les cartes Visa ou Mastercard. Veuillez saisir un numéro de carte de crédit différent."
client-service::INVALID_CURRENT_PASSWORD,,Current password does not match the password on file,Le mot de passe actuel ne correspond pas au mot de passe enregistré
client-service::INVALID_CVV,,Invalid CVV number.,Numéro CVV incorrect.
client-service::INVALID_CARD_EXPIRY,,Invalid expiration date.,Date dexpiration incorrecte.
client-service::INVALID_RECEIVER_MOBILE_NUMBER,,Please provide the mobile phone number of the recipient.,Veuillez indiquer le numéro de téléphone mobile du destinataire.
client-service::NEW_PASSWORD_CONF_REQUIRED,,Confirm new password.,Confirmez le nouveau mot de passe.
client-service::NEW_PASSWORD_CONF_MISMATCH,,The passwords you entered do not match. Please try again.,Les mots de passe saisis ne correspondent pas. Veuillez réessayer.
client-service::NEW_PASSWORD_REQUIRED,,New password is required.,Le nouveau mot de passe est obligatoire.
client-service::NEW_PASSWORD_STRENGTH,,Please select a stronger password for your account.,Veuillez sélectionner un mot de passe plus sûr pour votre compte.
client-service::POSTAL_CODE_AND_SUBDIVISION_DO_NOT_MATCH,,The state and zip code you entered do not appear to match. Please try again.,L'état et le code postal saisis ne semblent pas correspondre. Veuillez réessayer.
client-service::FOREX_RATE_EXPIRED,,Your locked-in rate has expired. Please review the updated transfer details before sending.,Votre taux bloqué a expiré. Veuillez vérifier les détails de virement mis à jour avant l'envoi.
client-service::SYSTEM_ERROR,,"We're sorry, we encountered an error processing your request. Please try again in a couple of minutes.","Nous sommes désolés, mais une erreur s'est produite lors du traitement de votre demande. Veuillez réessayer dans quelques minutes."
client-service::DEPRECATED_CARD_ENDPOINT,,Please update your Remitly application in order to add or edit your card information.,Veuillez mettre à jour votre application Remitly pour ajouter ou modifier les informations relatives à votre carte.
client-service::PHONE_NUMBER_REQUIRED,,Phone number is required.,Le numéro de téléphone est obligatoire.
client-service::AUTH_FAILED,,"We're sorry, your card was not authorized by your bank. Please call your card issuer to request they approve your transaction, and then resubmit your transfer with us. Questions? Call (888) 736-4859.","Nous sommes désolés, mais votre carte n'a pas été autorisée par votre banque. Veuillez appeler l'émetteur de votre carte pour lui demander d'approuver la transaction, puis faites une nouvelle tentative de virement. Vous avez des questions ? Appelez le (888) 736-4859."
client-service::CARDHOLDER_NAME_REQUIRED,,Please enter the card holder name.,Veuillez saisir le nom du titulaire de la carte.
client-service::CARDHOLDER_NAME_TOO_LONG,,Cardholder name must be less than 50 characters.,Le nom du titulaire de la carte doit comporter moins de 50 caractères.
client-service::DUPLICATE_RECORD,,Oops! The payment method you entered is associated with another Remitly account. You can either log in to that account or re-try this transaction with a different bank account or card number. Please give us a call at (888) 736-4859 if you need help recovering or deleting a Remitly account.,"Oups ! Le mode de paiement saisi est associé à un autre compte Remitly. Vous pouvez soit vous connecter à ce compte, soit réessayer cette transaction avec un compte bancaire ou un numéro de carte différent. Veuillez nous appeler au (888) 736-4859 si vous avez besoin d'aide pour récupérer ou supprimer un compte Remitly."
client-service::CREDIT_IN_DEBIT,,This card number appears to be a credit card. Please enter a valid debit card number or select credit to use this card. Questions? Call (888) 736-4859.,Ce numéro de carte semble être celui d'une carte de crédit. Veuillez saisir un numéro de carte de débit valide ou sélectionner crédit pour utiliser cette carte. Vous avez des questions ? Appelez le (888) 736-4859.
client-service::DEBIT_IN_CREDIT,,This card number appears to be a debit card. Please enter a valid credit card number or select debit to use this card. Questions? Call (888) 736-4859.,Ce numéro de carte semble être celui d'une carte de débit. Veuillez saisir un numéro de carte de crédit valide ou sélectionner débit pour utiliser cette carte. Vous avez des questions ? Appelez le (888) 736-4859.
client-service::PREPAID_IN_CREDIT,,This card number appears to be a pre-paid card. Please enter a valid credit card number or select debit to use this card. Questions? Call (888) 736-4859.,Ce numéro de carte semble être celui d'une carte prépayée. Veuillez saisir un numéro de carte de crédit valide ou sélectionner débit pour utiliser cette carte. Vous avez des questions ? Appelez le (888) 736-4859.
client-service::NO_CARD_BIN,,"We do not recognize this card number. Please double check the number you entered. If it is a valid number, please call us at (888) 736-4859 and we will assist you.","Nous ne reconnaissons pas ce numéro de carte. Veuillez vérifier à nouveau le numéro saisi. S'il s'agit d'un numéro correct, veuillez nous appeler au (888) 736-4859 pour que nous vous aidions."
client-service::PAYMENT_PROFILES_NUMBER_EXCEEDED,,You cannot store any more billing profiles with this account.,Vous ne pouvez plus enregistrer de profils de facturation supplémentaires avec ce compte.
client-service::PG_TRANSACTION_DECLINED,,"We're sorry, we were unable to authorize your card. Please enter a different card, or contact your bank for more information.","Nous sommes désolés, mais nous n'avons pas été en mesure d'autoriser votre carte. Veuillez entrer une carte différente ou contacter votre banque pour plus d'informations."
client-service::PAYMENT_INVALID_ZIP,,The zip code you entered does not appear to be formatted correctly.,Le format du code postal saisi semble incorrect.
client-service::INVALID_SSN_LAST_FOUR,,Last 4 digits do not match SSN on file.,Les 4 derniers chiffres ne correspondent pas au numéro de sécurité sociale enregistré.
client-service::PRICING_INVALID_AMOUNT,,Amount field is invalid or missing.,Le champ du montant est incorrect ou absent.
client-service::PRICING_INVALID_PARTNER,,Invalid partner type.,Type de partenaire non valide.
client-service::PRICING_INVALID_PAYMENT_TYPE,,Invalid payment type.,Type de paiement non valide.
client-service::AVS_MATCH_FAILED,,Have you moved recently? We are unable to match this card to the billing address you have entered. Please check to make sure you entered the correct billing address.,Avez-vous déménagé récemment ? Nous ne parvenons pas à associer cette carte à l'adresse de facturation fournie. Veuillez vous assurer que l'adresse de facturation saisie est correcte.
client-service::MAX_PROFILE_LIMIT,,You cannot add more payment methods to your account,Vous ne pouvez pas ajouter de modes de paiement supplémentaires à votre compte
client-service::STATE_REQUIRED,,Please enter the state you live in.,Veuillez indiquer l'État dans lequel vous résidez.
client-service::CITY_REQUIRED,,Please enter a valid city.,Veuillez saisir une ville valide.
client-service::ADDRESS_LINE_1_REQUIRED,,Please enter a street address.,Veuillez indiquer un nom de rue.
client-service::AUTH_INVALID_COUNTRY,,Please enter a valid country.,Veuillez indiquer un pays valide.
client-service::INVALID_ACCOUNT_NUMBER,,"We're sorry, we were unable to process your payment. According to your bank, the account number provided is invalid. Please either update your payment information or select a different payment method. Questions? Please call us at (888) 736-4859.","Nous sommes désolés, mais nous n'avons pas été en mesure de traiter votre paiement. Selon votre banque, le numéro de compte fourni est incorrect. Veuillez mettre vos informations de paiement à jour ou sélectionner un autre mode de paiement. Vous avez des questions ? Veuillez nous appeler au (888) 736-4859."
client-service::INVALID_TRANSIT_NUMBER,,Please correct your transit number.,Veuillez corriger votre numéro de domiciliation.
client-service::INVALID_INSTITUTION_NUMBER,,Please correct your bank number.,Veuillez corriger votre numéro de banque.
client-service::BANKING_INFORMATION,,Your banking information appears to be invalid,Vos informations bancaires semblent incorrectes
client-service::INVALID_SECURITY_CODE,,Invalid security code.,Code de sécurité non valide.
client-service::ACH_INVALID_ROUTING,,"We're sorry, we were unable to process your payment. According to your bank, the routing number provided is invalid. Please either update your payment information or select a different payment method. Questions? Please call us at (888) 736-4859.","Nous sommes désolés, mais nous n'avons pas été en mesure de traiter votre paiement. Selon votre banque, le numéro d'acheminement fourni est incorrect. Veuillez mettre vos informations de paiement à jour ou sélectionner un autre mode de paiement. Vous avez des questions ? Veuillez nous appeler au (888) 736-4859."
client-service::ACH_INSUFFICIENT_FUNDS,,"We're sorry, we were unable to process your payment. According to your bank, the account you provided did not have enough funds to cover the remittance. Please try again or select a different payment method. Questions? Please call us at (888) 736-4859.","Nous sommes désolés, mais nous n'avons pas été en mesure de traiter votre paiement. Selon votre banque, les fonds étaient insuffisants sur le compte indiqué pour couvrir le virement. Veuillez réessayer ou sélectionner un autre mode de paiement. Vous avez des questions ? Veuillez nous appeler au (888) 736-4859."
client-service::ACH_ACCOUNT_CLOSED,,"We're sorry, we were unable to process your payment. According to your bank, the account number you provided matches a closed account. Please either update your payment information or select a different payment method. Questions? Please call us at (888) 736-4859.","Nous sommes désolés, mais nous n'avons pas été en mesure de traiter votre paiement. Selon votre banque, le numéro de compte fourni correspond à celui d'un compte fermé. Veuillez mettre vos informations de paiement à jour ou sélectionner un autre mode de paiement. Vous avez des questions ? Veuillez nous appeler au (888) 736-4859."
client-service::ACH_ACCOUNT_NOT_FOUND,,"We're sorry, we were unable to process your payment. According to your bank, the account number provided is invalid. Please either update your payment information or select a different payment method. Questions? Please call us at (888) 736-4859.","Nous sommes désolés, mais nous n'avons pas été en mesure de traiter votre paiement. Selon votre banque, le numéro de compte fourni est incorrect. Veuillez mettre vos informations de paiement à jour ou sélectionner un autre mode de paiement. Vous avez des questions ? Veuillez nous appeler au (888) 736-4859."
client-service::ACH_FUNDS_FROZEN,,"We're sorry, we were unable to process your payment. While your account information appears to be valid, the bank would not allow us to withdraw funds. Please contact your bank for more information, or select a different payment method. Questions? Please call us at (888) 736-4859.","Nous sommes désolés, mais nous n'avons pas été en mesure de traiter votre paiement. Bien que vos informations de compte semblent correctes, la banque ne nous autorise pas à retirer des fonds. Veuillez contacter votre banque pour plus d'informations ou sélectionner un mode de paiement différent. Vous avez des questions ? Veuillez nous appeler au (888) 736-4859."
client-service::ACH_DUPLICATE_ACCOUNT,,Oops! The payment method you entered is associated with another Remitly account. You can either log in to that account or re-try this transaction with a different bank account or card number. Please give us a call at (888) 736-4859 if you need help recovering or deleting a Remitly account.,"Oups ! Le mode de paiement saisi est associé à un autre compte Remitly. Vous pouvez soit vous connecter à ce compte, soit réessayer cette transaction avec un compte bancaire ou un numéro de carte différent. Veuillez nous appeler au (888) 736-4859 si vous avez besoin d'aide pour récupérer ou supprimer un compte Remitly."
client-service::CC_EXPIRED,,"We're sorry, but we are unable to verify your credit card information. Please double check your security code, address and expiration date to ensure they are correct. Questions? Call (888) 736-4859.","Nous sommes désolés, mais nous n'avons pas été en mesure de vérifier les informations relatives à votre carte de crédit. Veuillez vérifier à nouveau que votre code sécurité, l'adresse et la date d'expiration sont corrects. Vous avez des questions ? Appelez le (888) 736-4859."
client-service::CC_NUMBER_INVALID,,Invalid card number.,Numéro de carte incorrect.
client-service::CVV_MATCH_FAILED,,"We're sorry, but we are unable to verify your credit card information. Please double check your CCV, billing address and expiration date to ensure they are correct. For security reasons, please wait 2 minutes before resubmitting your information. Questions? Call (888) 736-4859.","Nous sommes désolés, mais nous n'avons pas été en mesure de vérifier les informations relatives à votre carte de crédit. Veuillez vérifier à nouveau que votre code sécurité, l'adresse de facturation et la date d'expiration sont corrects. Pour des raisons de sécurité, veuillez patienter 2 minutes avant de renvoyer vos informations. Vous avez des questions ? Appelez le (888) 736-4859."
client-service::NOT_GLOBE_NUMBER,,"To send to a GCash Wallet, please enter a Globe mobile number.","Pour envoyer de l'argent vers un portefeuille GCash, veuillez entrer un numéro de mobile Globe."
client-service::MFA_RATE_LIMITED,,Please wait 5 minutes before trying to resend the code.,Veuillez patienter 5 minutes avant d'essayer de renvoyer le code.
client-service::AUTH_INVALID_ACCOUNT,,"For your security, please look for an email from us to reset your password.","Pour votre sécurité, veuillez réinitialiser votre mot de passe à partir d'un e-mail que nous vous avons envoyé."
client-service::INVALID_CC_LAST_FOUR,,Last 4 digits do not match a card or bank account on file.,Les 4 derniers chiffres ne correspondent pas à la carte ou au compte bancaire en notre possession.
client-service::INVALID_DOB,,Date of birth does not match what we have on file.,La date de naissance ne correspond pas à celle que vous nous avez indiquée.
client-service::NAME_REQUIRED,,Please enter a name.,Veuillez saisir un nom.
client-service::AUTH_INVALID_PHONE,,This is not a valid mobile phone number.,Ce numéro de téléphone mobile n'est pas valide.
client-service::AUTH_INVALID_EMAIL,,The email address you entered is not formatted correctly. Please try again.,Le format de l'adresse e-mail saisie n'est pas correct. Veuillez réessayer.
client-service::AUTH_EMAIL_IN_USE,,Looks like you already have an profile associated with this email address. Would you like to sign in instead?,Un profil semble déjà être associé à cette adresse e-mail. Voulez-vous plutôt vous connecter à ce profil ?
client-service::AUTH_INCORRECT_LOGIN,,We were unable to find your profile with the information you provided. Please try again or reset your password.,Les informations fournies ne nous ont pas permis de retrouver votre profil. Veuillez réessayer ou réinitialiser votre mot de passe.
client-service::AUTH_INVALID_PASSWORD,,Please select a stronger password for your profile.,Veuillez sélectionner un mot de passe plus sûr pour votre profil.
client-service::AUTH_LOCKED,,"In order to access your profile, please reset your password or contact customer support for help.","Pour accéder à votre profil, veuillez réinitialiser votre mot de passe ou contacter le service clientèle pour obtenir de l'aide."
client-service::AUTH_INVALID_DOB,,You need to enter a valid date of birth.,Vous devez saisir une date de naissance valide.
client-service::AUTH_UNDERAGE,,You need to be at least 18 years of age to use our service.,Vous devez être âgé dau moins 18 ans pour utiliser notre service.
client-service::AUTH_INVALID_SSN4,,The SSN you entered does not appear to be formatted correctly. Please be sure it is exactly 4 digits.,Le format du numéro de sécurité sociale saisi semble incorrect. Veuillez vous assurer qu'il se compose exactement de 4 chiffres.
client-service::AUTH_INVALID_STATE,,Please select your state.,Veuillez sélectionner votre État.
client-service::AUTH_INVALID_ZIP,,The zip code you entered does not appear to be formatted correctly. Please be sure it is exactly 5 digits.,Le format du code postal saisi semble incorrect. Veuillez vous assurer qu'il se compose exactement de 5 chiffres.
